               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.035158,            0.054212,           0.0082558,             0.71749,             0.66972,              0.7022,             0.44797,            0.030968,            0.050896,            0.011246,           0.0062511,           0.0062511,           0.0062511
                  52,            0.035292,            0.054472,           0.0082751,             0.71202,             0.67584,             0.70499,             0.44898,            0.030945,            0.050882,            0.011251,           0.0061633,           0.0061633,           0.0061633
                  53,            0.035246,            0.054174,           0.0080723,             0.71571,              0.6731,             0.70256,             0.45091,            0.030919,             0.05092,            0.011263,           0.0060755,           0.0060755,           0.0060755
                  54,            0.035133,            0.054271,           0.0077653,             0.71228,             0.67831,             0.70537,             0.45136,             0.03091,            0.050968,            0.011289,           0.0059878,           0.0059878,           0.0059878
                  55,            0.035103,             0.05429,           0.0078059,             0.70683,             0.67732,             0.70219,             0.45187,              0.0309,            0.051005,            0.011337,              0.0059,              0.0059,              0.0059
                  56,            0.035211,            0.054215,           0.0078913,             0.70454,             0.67825,             0.70063,             0.45129,            0.030888,            0.051035,            0.011361,           0.0058122,           0.0058122,           0.0058122
                  57,            0.034843,            0.053197,           0.0080402,             0.69804,             0.68011,              0.7014,              0.4527,            0.030881,             0.05105,            0.011383,           0.0057244,           0.0057244,           0.0057244
                  58,            0.034785,            0.053145,           0.0075533,             0.70176,             0.67943,             0.70302,             0.45281,            0.030872,            0.051079,            0.011402,           0.0056366,           0.0056366,           0.0056366
                  59,            0.034725,            0.052607,           0.0074331,             0.69454,             0.68394,             0.70233,             0.45244,            0.030871,            0.051108,            0.011418,           0.0055489,           0.0055489,           0.0055489
                  60,            0.034736,            0.052945,           0.0074644,             0.70389,             0.67739,             0.70241,             0.45268,            0.030867,            0.051136,            0.011437,           0.0054611,           0.0054611,           0.0054611
                  61,            0.034835,            0.052826,             0.00744,             0.70707,             0.67647,             0.70268,             0.45261,            0.030862,            0.051164,            0.011453,           0.0053733,           0.0053733,           0.0053733
                  62,            0.034619,            0.052515,           0.0074687,             0.69217,             0.68512,             0.70234,             0.45256,            0.030862,            0.051201,            0.011469,           0.0052855,           0.0052855,           0.0052855
                  63,            0.034488,            0.052281,           0.0071869,             0.69833,             0.68298,             0.70237,             0.45286,            0.030863,            0.051223,            0.011484,           0.0051977,           0.0051977,           0.0051977
                  64,            0.034484,            0.051764,           0.0071098,             0.69055,             0.68513,             0.70271,             0.45294,            0.030868,            0.051257,            0.011505,             0.00511,             0.00511,             0.00511
                  65,            0.034592,             0.05192,           0.0071937,             0.70132,             0.67964,              0.7021,             0.45224,            0.030869,            0.051289,            0.011524,           0.0050222,           0.0050222,           0.0050222
                  66,            0.034258,            0.052124,           0.0069387,             0.70093,             0.68021,             0.70134,             0.45193,             0.03087,            0.051325,            0.011546,           0.0049344,           0.0049344,           0.0049344
                  67,            0.034468,             0.05118,           0.0068539,             0.70285,             0.67889,             0.70078,             0.45164,            0.030872,            0.051351,            0.011566,           0.0048466,           0.0048466,           0.0048466
                  68,            0.034392,            0.051744,            0.006936,             0.70428,             0.67854,             0.70058,             0.45115,            0.030871,            0.051382,            0.011577,           0.0047589,           0.0047589,           0.0047589
                  69,            0.034061,            0.050737,           0.0068384,             0.68271,             0.69054,             0.69983,              0.4505,            0.030869,            0.051415,            0.011591,           0.0046711,           0.0046711,           0.0046711
                  70,            0.033986,            0.050482,           0.0065865,              0.6869,             0.68845,             0.69973,             0.45042,            0.030871,            0.051449,            0.011616,           0.0045833,           0.0045833,           0.0045833
                  71,            0.034021,            0.050258,            0.006533,             0.68347,             0.69041,             0.69949,             0.45034,             0.03087,            0.051481,            0.011636,           0.0044955,           0.0044955,           0.0044955
